"participant_id","musical_exp","v1","rating"
22,2,3.7149263454834,3
7,8,4.07611639201641,3
11,0,3.8546981373569,3
9,0,3.98866341819521,5
11,0,4.07448736750521,1
7,8,3.79423359918874,3
11,0,3.98224177639931,3
28,1,3.96877394276671,7
8,5,4.07121444526129,7
7,8,3.9911923237145,3
39,0,3.69710891481955,2
8,5,3.74041835251264,7
12,0,3.73983886160422,5
8,5,4.02979981780518,4
31,2,3.94572878824547,3
22,2,4.04356996596325,3
8,5,3.82042500118259,6
27,4,3.92679535758216,5
10,0,4.11612173190806,6
31,2,4.13559301695786,3
9,0,3.87598889726214,6
7,8,3.821624136623,4
27,4,3.92220805652905,5
9,0,3.7863583416678,6
9,0,3.96197285011876,7
31,2,3.99289158228785,3
8,5,4.12216729726642,6
9,0,4.08206882826053,7
10,0,3.95138089077082,5
9,0,3.74071738226339,7
10,0,3.81631823580246,5
9,0,3.89790907022543,7
10,0,3.72975559902843,4
7,8,3.82836345604155,2
11,0,3.85456644915976,3
7,8,3.82381449067034,2
9,0,3.79323404047173,7
7,8,3.72406552392058,3
9,0,3.7507340005599,6
9,0,3.9206361663295,6
7,8,3.79012991392519,3
7,8,3.98981150144246,4
11,0,3.69432173247915,4
7,8,3.97005052256864,3
9,0,4.01806323262863,7
7,8,3.88936154751573,3
10,0,4.08598123942502,6
10,0,3.68165027976502,7
8,5,4.00305564361624,4
12,0,4.14228234635666,1
8,5,4.01613502481487,6
12,0,3.82917975783348,6
16,3,3.88684396641329,5
7,8,3.9322295173537,3
10,0,3.89187196046114,6
9,0,3.89835067044478,6
7,8,3.98521601359826,3
7,8,3.715676706261,3
7,8,3.69089491174091,2
11,0,3.92084570913576,3
7,8,4.10646902336739,3
7,8,4.05935132442974,3
12,0,4.07733166518156,5
29,0,3.74336885402445,6
11,0,3.90837507750839,2
7,8,3.99526512015145,3
10,0,3.78376229070127,6
7,8,3.73876394329127,3
7,8,3.75238797357306,2
10,0,4.05109023009427,6
7,8,3.69952353658155,2
9,0,4.06156384663191,7
27,4,4.12232909779996,5
7,8,3.881395191513,2
9,0,4.14167764745653,7
9,0,4.07558517504949,7
8,5,3.75879802692216,5
9,0,4.11980903041549,7
8,5,3.84355464074761,6
8,5,4.04216357865371,6
7,8,3.81783493640833,2
11,0,3.96630944926292,1
11,0,3.79964932948351,3
11,0,4.09161660643294,2
11,0,3.78117929839063,2
11,0,4.04058820530772,2
7,8,4.08152711656876,2
7,8,4.14052020395175,2
9,0,4.04678077585995,6
11,0,4.08700172414538,1
7,8,3.68013210988138,1
9,0,3.74849056880921,6
10,0,3.76242674221285,7
9,0,3.99937018214259,6
8,5,3.85449181029107,4
9,0,4.12365213814192,6
10,0,3.88604011186399,6
11,0,4.05100850944873,2
28,1,3.81468997846823,7
12,0,4.07121973098256,7
11,0,3.71417985726148,3
15,0,3.778209961229,6
11,0,4.01740348022431,2
11,0,3.66059204642661,3
9,0,3.95477219354361,6
8,5,4.00882603225764,3
9,0,3.97478602265473,7
11,0,3.69184438497759,3
10,0,3.89806841928512,6
11,0,4.13504519567359,2
10,0,3.79872649428435,5
9,0,3.98039889624342,7
31,2,3.84581426656805,2
10,0,3.98790406247135,6
22,2,4.06699715156574,2
12,0,3.90193014252,2
11,0,3.8572744484758,3
9,0,4.01154272709973,5
10,0,3.89567740270868,6
11,0,3.96221617024858,3
7,8,3.65539746240247,3
16,3,3.72623340934515,5
7,8,3.69553098615725,3
27,4,4.10958078373224,3
11,0,4.04406301977579,3
22,2,3.81702731186524,6
73,0,3.68434696700424,3
27,4,3.93239542839583,6
12,0,4.09754421128891,3
8,5,4.09285557954572,5
7,8,3.84214590906631,4
8,5,3.91449273724575,6
10,0,3.86085000142921,5
7,8,3.96925067608245,2
11,0,3.94460381495301,2
9,0,4.13372077243403,7
8,5,3.84041689368896,7
10,0,4.02786684872117,7
12,0,3.68124403348193,5
11,0,3.66819891214836,2
28,1,3.69428049921989,7
50,7,3.85324170507956,3
11,0,3.86744341461454,3
19,4,3.96422340660356,6
9,0,3.81609025653452,7
16,3,3.8085526621202,4
16,3,4.01162590398453,5
12,0,3.98510126301553,3
9,0,3.88980623891111,6
10,0,3.9599295567954,7
15,0,4.0022412290331,5
15,0,3.85693202747498,5
12,0,3.89641390668694,7
8,5,3.88976693174336,5
15,0,4.14312012793962,4
12,0,4.09337456172798,7
11,0,3.697869870672,3
10,0,4.08773962242994,5
