"network_id","degree","category","v1","v2"
3,0,"{""target"":""pleasant""}",6.47530519720861,3.2256573143774
3,1,"{""target"":""pleasant""}",6.47530519720861,5.67491749174917
3,2,"{""target"":""pleasant""}",3.49389938993899,5.67491749174917
3,3,"{""target"":""pleasant""}",3.49389938993899,4.69481948194819
3,4,"{""target"":""pleasant""}",0.655215521552155,4.69481948194819
3,5,"{""target"":""pleasant""}",0.655215521552155,5.62931293129313
3,6,"{""target"":""pleasant""}",8.48639863986399,5.62931293129313
3,7,"{""target"":""pleasant""}",8.48639863986399,3.67391739173917
3,8,"{""target"":""pleasant""}",7.6055105510551,3.67391739173917
3,9,"{""target"":""pleasant""}",7.6055105510551,1.93214321432143
3,10,"{""target"":""pleasant""}",6.43179317931793,1.93214321432143
3,11,"{""target"":""pleasant""}",6.43179317931793,1.12726272627263
3,12,"{""target"":""pleasant""}",6.79502950295029,1.12726272627263
3,13,"{""target"":""pleasant""}",6.79502950295029,2.0993599359936
3,14,"{""target"":""pleasant""}",8.5,2.0993599359936
3,15,"{""target"":""pleasant""}",8.5,4.2987798779878
3,16,"{""target"":""pleasant""}",8.37998799879988,4.2987798779878
3,17,"{""target"":""pleasant""}",8.37998799879988,3.48029802980298
3,18,"{""target"":""pleasant""}",8.5,3.48029802980298
3,19,"{""target"":""pleasant""}",8.5,4.01955195519552
3,20,"{""target"":""pleasant""}",5.05805580558056,4.01955195519552
3,21,"{""target"":""pleasant""}",5.05805580558056,5.08765876587659
3,22,"{""target"":""pleasant""}",4.45559555955596,5.08765876587659
3,23,"{""target"":""pleasant""}",4.45559555955596,7.46469646964696
3,24,"{""target"":""pleasant""}",4.53000300030003,7.46469646964696
3,25,"{""target"":""pleasant""}",4.53000300030003,7.22547254725472
3,26,"{""target"":""pleasant""}",4.61881188118812,7.22547254725472
3,27,"{""target"":""pleasant""}",4.61881188118812,7.7023202320232
3,28,"{""target"":""pleasant""}",7.18466846684668,7.7023202320232
3,29,"{""target"":""pleasant""}",7.18466846684668,7.45749574957496
3,30,"{""target"":""pleasant""}",6.97504750475047,7.45749574957496
3,31,"{""target"":""pleasant""}",6.97504750475047,0.5
3,32,"{""target"":""pleasant""}",8.5,0.5
3,33,"{""target"":""pleasant""}",8.5,3.6035103510351
3,34,"{""target"":""pleasant""}",0.984048404840484,3.6035103510351
3,35,"{""target"":""pleasant""}",0.984048404840484,2.86663666366637
3,36,"{""target"":""pleasant""}",4.39398939893989,2.86663666366637
3,37,"{""target"":""pleasant""}",4.39398939893989,2.68821882188219
3,38,"{""target"":""pleasant""}",3.05945594559456,2.68821882188219
3,39,"{""target"":""pleasant""}",3.05945594559456,8.5
3,40,"{""target"":""pleasant""}",3.71472147214721,8.5
4,0,"{""target"":""pleasant""}",4.53750133629225,7.68744396871303
4,1,"{""target"":""pleasant""}",4.53750133629225,2.42499249924992
4,2,"{""target"":""pleasant""}",4.40759075907591,2.42499249924992
4,3,"{""target"":""pleasant""}",4.40759075907591,1.15366536653665
4,4,"{""target"":""pleasant""}",1.47209720972097,1.15366536653665
4,5,"{""target"":""pleasant""}",1.47209720972097,8.17836783678368
4,6,"{""target"":""pleasant""}",7.76152615261526,8.17836783678368
4,7,"{""target"":""pleasant""}",7.76152615261526,7.13666366636664
4,8,"{""target"":""pleasant""}",3.18586858685869,7.13666366636664
4,9,"{""target"":""pleasant""}",3.18586858685869,7.44949494949495
4,10,"{""target"":""pleasant""}",1.51370137013701,7.44949494949495
4,11,"{""target"":""pleasant""}",1.51370137013701,8.23517351735173
4,12,"{""target"":""pleasant""}",5.09085908590859,8.23517351735173
